,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
8969,29,5,6,3428.529,272.18028947368424
8970,44,8,0,0.0,0.0
8976,39,7,3,13713.99,451.1189210526316
8977,43,8,3,883.5764,67.13094210526316
8978,42,8,1,1078.193,28.3735
8981,31,8,0,0.0,0.0
8985,36,7,2,2752.447,93.05973684210527
8986,43,8,3,46858.52,2466.237894736842
8988,36,7,4,8485.756,264.1105842105263
8990,34,8,0,0.0,0.0
8991,38,7,2,783.823,39.87124473684211
8993,44,8,8,13713.99,427.4419921052631
8994,44,8,7,4576.539,202.98807894736842
8995,41,8,2,915.9191,24.103134210526314
8996,44,8,0,0.0,0.0
8997,31,7,0,0.0,0.0
8998,23,6,0,0.0,0.0
9000,42,8,2,766.6232,38.91605789473684
9004,40,8,3,908.3955,46.12221052631579
9010,41,8,2,3881.305,168.26352631578945
9011,31,8,2,12723.6,355.00587368421054
9012,41,8,1,1820.585,47.91013157894737
9017,38,8,2,2659.79,87.12394210526315
9019,29,7,0,0.0,0.0
9021,42,8,1,3174.797,83.54728947368422
9024,43,8,2,4553.39,192.25886842105265
9025,40,8,3,3881.305,150.67902631578946
9026,37,7,4,980.8116,69.68976315789473
9027,37,8,1,883.5764,23.25201052631579
9028,43,8,4,3428.529,144.91128421052633
9032,35,7,5,2752.447,143.4951157894737
9033,35,8,5,1065.164,114.2835
9034,38,7,2,1202.592,53.38981315789474
9037,42,8,2,2752.447,106.40042105263159
9038,36,7,3,883.5764,69.75603157894737
9039,44,8,15,4831.423,431.471505263158
9040,44,8,19,6090.891,946.9482
9043,43,8,8,2752.447,218.24951578947366
9044,43,8,0,0.0,0.0
9045,43,8,1,783.823,20.626921052631577
9046,24,7,0,0.0,0.0
9047,41,8,3,766.6232,40.34858947368421
9048,43,8,0,0.0,0.0
9499,26,6,0,0.0,0.0
9524,34,7,3,984.5185,49.160392105263156
9672,30,6,1,766.6232,20.174294736842104
9703,24,5,0,0.0,0.0
9720,20,6,1,650.9198,17.129468421052632
9721,25,5,0,0.0,0.0
9737,20,6,3,2943.461,132.88031578947366
9797,26,6,2,2173.083,78.49722368421054
9798,26,5,0,0.0,0.0
9807,28,6,0,0.0,0.0
10148,23,5,2,8485.756,247.21451315789474
10174,87,8,0,0.0,0.0
10215,37,7,1,1323.054,34.81721052631579
10217,23,6,2,883.5764,23.25201052631579
10219,28,5,0,0.0,0.0
10230,28,5,1,984.5185,25.90838157894737
10320,28,5,0,0.0,0.0
10325,31,7,3,1915.432,116.52557894736842
